ID;Authors;Year;N_sample;Effect_size;Temp_media;Precipitacao;Temp_sazonal;Prec_sazonal;Range;Position;Transition;Historic_land;Topography;yi;vi;Clim_mac;;-4;4
2522;Silva-Araújo,_M.,_Silva-Junior,_E.F.,_Neres-Lima,_V.,_Feijó-Lima,_R.,_Tromboni,_F.,_Lourenço-Amorim,_C.,_Thomas,_S.A.,_Moulton,_T.P.,_Zandonà,_E.;2020;28;-0.49;21.17005892;1337.918605;225.0945282;61.59802934;NA;NA;Foragr;80;116.4454994;-0.536060337;0.04;-2.01834272;;;
2070;Mwaijengo,_G.,_Msigwa,_A.,_Njau,_K.N.,_Brendonck,_L.,_Vanschoenwinkel,_B.;2020;40;-0.24;20.54842068;730.0227273;159.7299682;89.72823759;NA;NA;Foragr;40;38.60549578;-0.244774113;0.027027027;-1.296973704;;;
2070;Mwaijengo,_G.,_Msigwa,_A.,_Njau,_K.N.,_Brendonck,_L.,_Vanschoenwinkel,_B.;2020;40;-0.06;20.54842068;730.0227273;159.7299682;89.72823759;NA;NA;Foragr;40;38.60549578;-0.060072156;0.027027027;-1.296973704;;;
2070;Mwaijengo,_G.,_Msigwa,_A.,_Njau,_K.N.,_Brendonck,_L.,_Vanschoenwinkel,_B.;2020;40;0.06;20.54842068;730.0227273;159.7299682;89.72823759;NA;NA;Forurb;40;38.60549578;0.060072156;0.027027027;-1.296973704;;;
1822;Schneid,_B.P.,_Anderson,_C.J.,_Feminella,_J.W.;2017;13;0;18.8402886;1598.548077;663.7375676;17.48718602;NA;NA;Foragr;80;64.42548513;0;0.1;-1.176926741;;;
292;Collier,_K.J.;2008;49;-0.59;13.267915;1567.9;352.3377762;16.67055982;NA;NA;Foragr;0;119.6583885;-0.677666068;0.02173913;-1.109293435;;;
359;Herlihy,_A.T.,_Gerth,_W.J.,_Li,_J.,_Banks,_J.L.;2005;167;-0.26;10.57923418;1765.961538;474.74617;67.6569442;NA;NA;Foragr;0;103.3252747;-0.266108407;0.006097561;-0.881558273;;;
359;Herlihy,_A.T.,_Gerth,_W.J.,_Li,_J.,_Banks,_J.L.;2005;167;-0.03;10.57923418;1765.961538;474.74617;67.6569442;NA;NA;Foragr;0;103.3252747;-0.030009005;0.006097561;-0.881558273;;;
459;Maloney,_K.O.,_Feminella,_J.W.,_Mitchell,_R.M.,_Miller,_S.A.,_Mulholland,_P.J.,_Houser,_J.N.;2008;13;-0.71;17.54527529;1307.566038;702.7431848;22.12344301;NA;NA;Foragr;70;35.4222859;-0.887183863;0.1;-0.566924877;;;
459;Maloney,_K.O.,_Feminella,_J.W.,_Mitchell,_R.M.,_Miller,_S.A.,_Mulholland,_P.J.,_Houser,_J.N.;2008;13;-0.56;17.54527529;1307.566038;702.7431848;22.12344301;NA;NA;Foragr;70;35.4222859;-0.632833187;0.1;-0.566924877;;;
