ID	Authors	Year	Original_cover	N	Organism_1	Response_variable	Tax_func	Min_response	Max_response	Effect_func	Year_field_sample	Year_cover	Land_use_original	Land_use_class	Min_land_use	Max_land_use	Recorte_Espacial	Min_catch	Max_catch	Mean_catch	Analysis	Effect_size_metric	effect_size	P	Long	Lat	Ecoregion
157	Stepenuck,_K.F.,_Crunkilton,_R.L.,_Wang,_L.	2002	Forest	43	Macroinvertebrados	Riqueza	Taxonômica	-	-	sim	1997	1990	Urban	Urbano	-	-	Subbacia	5.55	28.33	13.73	Correlação_de_Pearson_	R	-0.35	<0.05	-88.18	43.15	Central_US_forest-grasslands_transition
630	Li,_F.,_Cai,_Q.,_Ye,_L.	2010	Forest	24	Macroinvertebrados	Riqueza	Taxonômica	-	-	-	2004	2002	Agriculture	Agricultura	-	-	Subbacia	-	-	-	Correlação_de_Pearson_	r	-0.33	0.05	111.0117668	31.86935789	Daba_Mountains_evergreen_forests
339	Li,_F.,_Chung,_N.,_Bae,_M.-J.,_Kwon,_Y.-S.,_Park,_Y.-S.	2012	Forest	685	Macroinvertebrados	Riqueza	Taxonômica	-	-	-	2009	Não_informa	Agriculture	Agricultura	-	-	Buffer_200m_ripário_(1_km_a_montante)	-	-	-	Regressão_Linear_	coef_b	-0.32	NA	128.2987896	36.62284066	Central_Korean_deciduous_forests
10	Roy,_A.H.,_Rosemond,_A.D.,_Paul,_M.J.,_Leigh,_D.S.,_Wallace,_J.B.	2003	Forest	30	Macroinvertebrados	Riqueza	Taxonômica	3	31	-	1999	1997	Urban	Urbano	4.9	60.7	Subbacia	11.3	125.7	56.9	Regressão_Linear_	R²	-0.31	<0.01	-84.73293875	34.4801351	Appalachian-Blue_Ridge_forests
523	Iñiguez-Armijos,_C.,_Leiva,_A.,_Frede,_H.-G.,_Hampel,_H.,_Breuer,_L.	2014	Forest	23	Macroinvertebrados	Riqueza	Taxonômica	-	-	-	2011	2010	Non_forest_	Agricultura	4.6	93.5	Subbacia	-	-	-	Regressão_Linear_	R²	-0.3	<0.01	-79.14533184	-4.167636603	Eastern_Cordillera_Real_montane_forests
10	Roy,_A.H.,_Rosemond,_A.D.,_Paul,_M.J.,_Leigh,_D.S.,_Wallace,_J.B.	2003	Forest	30	Macroinvertebrados	Riqueza	Taxonômica	21	62	-	1999	1997	Urban	Urbano	4.9	60.7	Subbacia	11.3	125.7	56.9	Regressão_Linear_	R²	-0.29	<0.01	-84.73293875	34.4801351	Appalachian-Blue_Ridge_forests
977	Li,_Z.,_Wang,_J.,_Liu,_Z.,_Meng,_X.,_Heino,_J.,_Jiang,_X.,_Xiong,_X.,_Jiang,_X.,_Xie,_Z.	2019	Forest	67	Macroinvertebrados	Riqueza	Funcional	-	-	-	2017	Não_informa	Urban	Urbano	-	-	Subbacia	-	-	-	Regressão_Linear_	R²	-0.29	0.02	110.660237	33.73073206	Qin_Ling_Mountains_deciduous_forests
359	Herlihy,_A.T.,_Gerth,_W.J.,_Li,_J.,_Banks,_J.L.	2005	Forest	167	Macroinvertebrados	Riqueza	Taxonômica	-	-	sim	1998	1983	Harvested	Agricultura	-	-	Subbacia	-	-	2.8	Correlação_de_Spearman	r	-0.26	NA	-123.5474375	44.20894951	Central_Pacific_Northwest_coastal_forests
630	Li,_F.,_Cai,_Q.,_Ye,_L.	2010	Forest	24	Macroinvertebrados	Riqueza	Taxonômica	-	-	-	2004	2002	Urrban	Urbano	-	-	Subbacia	-	-	-	Correlação_de_Pearson_	r	-0.25	0.05	111.0117668	31.86935789	Daba_Mountains_evergreen_forests
977	Li,_Z.,_Wang,_J.,_Liu,_Z.,_Meng,_X.,_Heino,_J.,_Jiang,_X.,_Xiong,_X.,_Jiang,_X.,_Xie,_Z.	2019	Forest	67	Macroinvertebrados	Riqueza	Taxonômica	-	-	-	2017	Não_informa	Urban	Urbano	-	-	Subbacia	-	-	-	Regressão_Linear_	R²	-0.24	0.001	110.660237	33.73073206	Qin_Ling_Mountains_deciduous_forests
